p,t,u,v,speed,rh,time,h,report_id
-22.8,300.34999999999997,-13.054131930290882,16.41129304919512,20.97,0,19S7-21-47 12:00:00+00,8.5224,19S72147
-22.9,300.04999999999995,-13.156730763378771,16.623490476430113,21.2,0,19S7-21-47 12:00:00+00,8.542700000000002,19S72147
-23.3,299.84999999999997,-13.53207432192551,17.091605089806055,21.8,0,19S7-21-47 12:00:00+00,8.5868,19S72147
-24.1,297.65,-14.971428866093916,17.156025696748355,22.77,0,19S7-21-47 12:00:00+00,8.6857,19S72147
-24.3,294.25,-15.047823116003826,17.062400753395192,22.75,0,19S7-21-47 12:00:00+00,8.7246,19S72147
-24.3,293.54999999999995,-15.07297057500734,17.066881907512073,22.77,0,19S7-21-47 12:00:00+00,8.7364,19S72147
-24.4,292.65,-15.03429000016719,17.167484503877464,22.82,0,19S7-21-47 12:00:00+00,8.7484,19S72147
-24.7,290.15,-15.004147732297925,16.605419321034294,22.38,0,19S7-21-47 12:00:00+00,8.8055,19S72147
-24.9,287.25,-14.700592047978708,15.852980585331744,21.62,0,19S7-21-47 12:00:00+00,8.842600000000001,19S72147
-25.5,283.34999999999997,-13.956259156163757,14.241714446161154,19.94,0,19S7-21-47 12:00:00+00,8.927100000000001,19S72147
-25.7,282.54999999999995,-13.531611592419534,13.465644719503677,19.09,0,19S7-21-47 12:00:00+00,8.9646,19S72147
-25.8,282.54999999999995,-13.30688029755189,12.895264120855584,18.53,0,19S7-21-47 12:00:00+00,8.981200000000001,19S72147
-26.1,288.54999999999995,-10.174957795426305,7.482455069112908,12.63,0,19S7-21-47 12:00:00+00,9.1923,19S72147
-26.3,290.34999999999997,-9.481021263100729,6.752765049121128,11.64,0,19S7-21-47 12:00:00+00,9.222100000000001,19S72147
-27.2,301.04999999999995,-8.440084641144296,5.455957409137299,10.05,0,19S7-21-47 12:00:00+00,9.3245,19S72147
-27.5,309.54999999999995,-7.891136202257812,4.826227246764926,9.25,0,19S7-21-47 12:00:00+00,9.409799999999999,19S72147
-27.6,309.34999999999997,-7.854608243838942,4.828408571757091,9.22,0,19S7-21-47 12:00:00+00,9.414,19S72147
-27.6,309.15,-7.737392659747043,4.67486415084894,9.04,0,19S7-21-47 12:00:00+00,9.431000000000001,19S72147
-28.2,307.45,-7.952019416458869,4.685967050701611,9.23,0,19S7-21-47 12:00:00+00,9.5154,19S72147
-28.3,307.25,-7.995693060397431,4.808096555177772,9.33,0,19S7-21-47 12:00:00+00,9.528,19S72147
-28.8,308.25,-8.026016444054695,5.897852154790219,9.96,0,19S7-21-47 12:00:00+00,9.6082,19S72147
-29.1,306.75,-8.009708928527283,6.804752962471916,10.51,0,19S7-21-47 12:00:00+00,9.6709,19S72147
-29.1,306.15,-7.987354550733427,6.676096709970431,10.41,0,19S7-21-47 12:00:00+00,9.6793,19S72147
-29.4,301.84999999999997,-7.583996381862377,7.533863476324638,10.69,0,19S7-21-47 12:00:00+00,9.7421,19S72147
-29.5,301.54999999999995,-7.5647105571771585,7.609734173158248,10.73,0,19S7-21-47 12:00:00+00,9.754700000000001,19S72147
-29.9,301.84999999999997,-7.578980049513135,7.930949590627966,10.97,0,19S7-21-47 12:00:00+00,9.797,19S72147
-30.1,301.95,-7.450055564446505,7.997597894784388,10.93,0,19S7-21-47 12:00:00+00,9.8055,19S72147
-30.6,301.25,-7.1648108385685045,7.3857691303974065,10.29,0,19S7-21-47 12:00:00+00,9.8832,19S72147
-30.6,300.95,-6.982269359137667,7.311635562338106,10.11,0,19S7-21-47 12:00:00+00,9.8919,19S72147
-30.6,301.25,-6.9375305808611225,7.146486510140264,9.96,0,19S7-21-47 12:00:00+00,9.9092,19S72147
-31.8,308.95,-6.03834686163175,6.235444425108926,8.68,0,19S7-21-47 12:00:00+00,10.0471,19S72147
-32.0,308.84999999999997,-5.838320295479132,6.150155780742181,8.48,0,19S7-21-47 12:00:00+00,10.0688,19S72147
-32.0,308.84999999999997,-5.7635395814961266,6.206650585664337,8.47,0,19S7-21-47 12:00:00+00,10.073200000000002,19S72147
-32.3,309.65,-5.539598890063893,6.287864831340039,8.38,0,19S7-21-47 12:00:00+00,10.107899999999999,19S72147
-33.3,309.54999999999995,-4.9340323698562525,6.561968041160419,8.21,0,19S7-21-47 12:00:00+00,10.216899999999999,19S72147
-33.5,308.65,-4.800662051395157,6.795295716029911,8.32,0,19S7-21-47 12:00:00+00,10.234399999999999,19S72147
-34.5,308.34999999999997,-5.5154320216082615,6.67649680708515,8.66,0,19S7-21-47 12:00:00+00,10.3523,19S72147
-34.8,308.54999999999995,-5.576445348307452,6.638686412035153,8.67,0,19S7-21-47 12:00:00+00,10.379299999999999,19S72147
-36.9,316.45,-5.04131376591494,6.731512126825334,8.41,0,19S7-21-47 12:00:00+00,10.592200000000002,19S72147
-38.1,331.65,-5.0941367700610805,5.381251765891618,7.41,0,19S7-21-47 12:00:00+00,10.7319,19S72147
-38.4,338.54999999999995,-5.104318797473,5.274611797446688,7.34,0,19S7-21-47 12:00:00+00,10.7771,19S72147
-38.5,338.95,-5.103593685983271,5.078713566287401,7.2,0,19S7-21-47 12:00:00+00,10.786200000000001,19S72147
-38.9,343.54999999999995,-5.0664661993551325,4.801179047983106,6.98,0,19S7-21-47 12:00:00+00,10.837100000000001,19S72147
-41.8,310.04999999999995,-3.569559577959528,0.05607512280320007,3.57,0,19S7-21-47 12:00:00+00,11.337700000000002,19S72147
-42.4,308.25,-3.338153024700176,0.2814860275130307,3.35,0,19S7-21-47 12:00:00+00,11.400200000000002,19S72147
-42.7,307.95,-3.5178251519988706,0.29292695329061563,3.53,0,19S7-21-47 12:00:00+00,11.432,19S72147
-43.2,307.54999999999995,-3.770762390768103,0.545390678659638,3.81,0,19S7-21-47 12:00:00+00,11.481700000000002,19S72147
-43.3,307.54999999999995,-3.6799031619627502,0.5447134279385404,3.72,0,19S7-21-47 12:00:00+00,11.4906,19S72147
-44.3,299.84999999999997,-2.643281496771673,0.6826147733711182,2.73,0,19S7-21-47 12:00:00+00,11.6273,19S72147
-44.6,298.34999999999997,-2.614369947265678,0.7506462408045881,2.72,0,19S7-21-47 12:00:00+00,11.6522,19S72147
-44.6,297.84999999999997,-2.5932521602267355,0.8206358714310334,2.72,0,19S7-21-47 12:00:00+00,11.6603,19S72147
-45.0,296.54999999999995,-2.483723741518094,0.7688409301145211,2.6,0,19S7-21-47 12:00:00+00,11.6968,19S72147
-45.4,295.75,-2.282290396025292,0.834296439049525,2.43,0,19S7-21-47 12:00:00+00,11.7377,19S72147
-45.5,295.45,-2.1505481064581264,0.7266655639352725,2.27,0,19S7-21-47 12:00:00+00,11.7582,19S72147
-45.9,295.04999999999995,-2.0905848700943612,0.6523456912807362,2.19,0,19S7-21-47 12:00:00+00,11.7914,19S72147
