SYMBOLS,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1
Qpt,Trakit,Trachite,Intrusive: mafic,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Qpv2,Breksi Pandan,Pandan Breccia,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qpva,Gunungapi muda Anjasmara,Young Anjasmara volcanics,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qpva1,Batuan Gunungapi Argapuro,Argapuro Volcanics,Extrusive: intermediate: polymict,Volcanism: subareal,Volcanism: subareal,
Qpvb1,Endapan G. api Buring,Volcanic Deposits of Buring,Extrusive: mafic: lava,Volcanism: subareal,Volcanism: subareal,
Qpvi,Batuan gunungapi tua Ijen,Old Ijen volcanic rock,Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qpvk,Batuan Gunungapi Tua Kelud,Old Kelud Volcanic,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qpvk2,Batuan Gunungapi Kemuning,Volcanic Rock of Kemuning,Extrusive: intermediate: lava,Volcanism: subareal,Volcanism: subareal,
Qpvp,Batuan gunungapi Marikeng,Volcanic rock Marikeng,Intrusive: intermediate,Plutonism: sub-volcanic,Plutonism: sub-volcanic,
Qpw,Formasi Welang,Welang formation,Sediment: clastic: medium: sandstone,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
Qt5,Endapan Teras,Terrace Deposits,Sediment: clastic: alluvium,Sedimentation: terrestrial: alluvial,Sedimentation: terrestrial: alluvial,
QTr,Formasi Ringgit,Ringgit Formation,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
Qtt,Rombakan Cemara Tiga,Cemara Tiga Debris,Sediment: clastic: coarse: breccia,,,
Qv,"Batuan gunungapi Merapi, Rante","Rante, Merapi volcanic rock",Extrusive: intermediate: polymict,Volcanism: subaerial,Volcanism: subaerial,
Qv4,Batuan Gunungapi Balibak,Balibak Volcanic Rock,Extrusive: intermediate: lava,Volcanism: subaerial,Volcanism: subaerial,
